journal,JIF 2022,CORE 2020,CORE 2021,JOURQUAL3,Qualis 2017,GGS 2021,SJR,JIF 2025,ICORE 2026,SJR_noshow,VHB 2024,JIF 2023,CORE 2023,JIF 2024
ACM Computing Surveys,16.6,A*,,B,A1,,23038,30.4,,,A,23.8,,28.0
ACM Transactions on Computer-Human Interaction,,,,,,,26199,9.6,,,B,4.8,,6.6
ACM Transactions on Information Systems,,,,,,,18997,11.2,,,B,5.4,,9.1
ACM Transactions on Interactive Intelligent Systems,,,,,,,21100301601,6.4,,,B,3.6,,4.8
ACM Transactions on Management Information System,,,,,,,21100200804,5.2,,,B,2.5,,3.6
AI & Society,,,,,,,23616,6.1,,,C,2.9,,4.7
AI Magazine,0.9,C,,,A1,,23629,3.5,,,,2.5,,3.2
Cogent Education,,,,,,,21100843893,2.7,,,,1.5,,2.0
EPJ Data Science,3.6,,,,A1,,21100397403,3.1,,,,3.0,,2.5
Expert Systems with Applications,,,,,,,24201,9.4,,,B,7.5,,7.5
Frontiers in Artificial Intelligence,,,,,,,21101062817,6.7,,,C,3.0,,4.7
Frontiers in Big Data,,,,,,,21101052354,3.8,,,,2.4,,2.3
IEEE Transactions on Industrial Informatics,12.3,,,,A1,,144912,9.8,,,,11.7,,9.9
Information and Software Technology,3.9,A,,,A1,,18732,4.6,,,B,3.8,,4.3
International Journal of Cultural Policy,,,,,,,5700163951,1.6,,,,1.3,,1.6
International Journal of Web Information Systems,,C,,,B1,,21100200660,2.0,,,,2.5,,2.3
Journal of Ambient Intelligence and Smart Environments,1.7,,,,A4,,,1.9,,19700186867,,1.8,,2.0
Journal of Mobile Multimedia,,C,,,A4,,19900192412,,,,,,,
Journal of Systems and Software,3.5,A,,,A1,,19309,3.8,,,B,3.7,,4.1
Management Review Quarterly,,,,C,,,21100278302,7.6,,,B,,,9.0
PLOS ONE,3.7,,,,A1,,10600153309,2.8,,,B,2.9,,2.6
Scalable Computing: Practice and Experience,,,,,,,,,,21100208072,,0.9,,
Transportation Research Part F: Traffic Psychology and Behaviour,,,,,,,20897,5.0,,,B,,,4.4
User Modeling and User-Adapted Interaction,3.6,A,,,A1,,18947,4.5,,,,3.0,,3.5
LNCS,,,,C,,,,,,,,,,
LNI,,,,C,,,,,,,,,,
ACMMM,,,,,,A++,,,A*,,,,A*,
AMCIS,,,,D,A2,B,,,,,C,,,
BLED,,,,,,C,,,,,C,,,
CDVE,,,C,,B3,,,,C,,,,C,
CHI,,,,,A1,A++,,,A*,,A,,A*,
CIKM,,,,,A1,A+,,,A,,,,A,
CSCW,,,,,A1,A+,,,A,,B,,A,
DocEng,,,B,,B1,B-,,,B,,,,B,
ECAI,,,,,A2,A-,,,A,,,,A,
ECIR,,,,,A2,A-,,,A,,,,A,
ECIS,,,,B,A2,B,,,,,A,,,
ECSCW,,,,,,B,,,B,,C,,B,
ED-MEDIA,,,B,,,,,,C,,,,C,
FAccT,,,,,,,,,,,B,,,
FIE,,,C,,B1,B-,,,C,,,,C,
HCII,,,,,,,,,,,B,,,
HICSS,,,,C,A1,A,,,,,B,,,
ICIS,,,,A,A1,A-,,,,,A,,,
iiWAS,,,C,,B1,,,,C,,,,C,
INTERACT,,,B,,A2,B,,,B,,,,B,
ISMIR,,,,,A1,A,,,,,,,,
ITiCSE,,,A,,A2,B,,,B,,,,B,
IUI,,,,,A2,A,,,A,,B,,A,
MCIS,,,,,,,,,,,D,,,
MobileHCI,,,B,,A1,A-,,,B,,,,B,
MoMM,,,B,,,,,,C,,,,C,
MuC,,,,,,,,,,,C,,,
RecSys,,,,,A1,A,,,A,,,,A,
SIGIR,,,,,A1,A++,,,A*,,,,A*,
UMAP,,,B,,A2,B,,,A,,,,B,
WI,,,,C,,,,,,,B,,,
WSDM,,,,,A1,A+,,,A,,,,A,
CHIIR,,,,,,,,,B,,,,,
