author,date,outlet,title,language,link,icon,comment,pic,video,e-paper,audio,audio2
,13-Feb-26,ORF Radio Salzburg ,ORF Radio Salzburg Mittagszeit: KI und Liebe,German,https://sound.orf.at/radio/sbg/sendung/52737/mittagszeit,audio,,,,,,
Christine Hackenbuchner,13-Feb-26,ORF Radio Salzburg,Verliebt in KI: Wie Chatbots Herzen erobern,German,https://salzburg.orf.at/stories/3338422/,text,,,,,,
Mario Friedwagner,19-Dec-25,Freies Radio Salzkammergut,"Confirm Humanity – Kunst, Kultur und Künstliche Intelligenz (Teil 5)",German,https://cba.media/751436,audio,,,,,,
Mario Friedwagner,18-Dec-25,Freies Radio Salzkammergut,Confirm Humanity – Bildung und Arbeit (Teil 4),German,https://cba.media/751435,audio,,,,,,
Mario Friedwagner,16-Dec-25,Freies Radio Salzkammergut,Confirm Humanity – Soziale Gerechtigkeit (Teil 2),German,https://cba.media/751431,audio,,,,,,
Hilde Mayer,30-Sep-25,Salzburger Nachrichten,Wie die Mint-Branche Frauen verliert,German,,text,,,,,,
Hilde Mayer,29-Sep-25,Salzburger Nachrichten,Frauenförderung in Mint-Berufen: Warum so viele Frauen die Branche verlassen,German,https://www.sn.at/politik/innenpolitik/frauenfoerderung-tech-berufen-warum-frauen-branche-185206885,text,,,,,,
Willy Bauer,4-Apr-25,medianet,KI – Intelligenz oder Datenklau?,German,https://medianet.at/news/marketing-and-media/ki-intelligenz-oder-datenklau-66924.html,text,,,,,,
Krutika Dudharejiya,2-Apr-25,Feminism in India,Spotify As A Capitalist Tool Reinforcing Gendered Violence,English,https://feminisminindia.com/2025/04/02/spotify-as-a-capitalist-tool-reinforcing-gendered-violence/,text,,,,,,
Franziska Stritzl,2-Apr-25,MeinBezirk,Herausforderungen und Chancen der Live-Musikbranche,German,https://www.meinbezirk.at/niederoesterreich/c-lokales/herausforderungen-und-chancen-der-live-musikbranche_a7236796,text,,,,,,
,1-Apr-25,"ton:0125, Das Mitglieder-Magazin der akm",Musik aus den Regionen,German,https://www.akm.at/wp-content/uploads/2025/04/AKM_ton0125_Online.pdf,text,,,,,,
,31-Mar-25,NÖN.at,Musik aus den Regionen 2025,German,https://www.noen.at/niederoesterreich/kultur-festivals/mica-music-austria-musik-aus-den-regionen-2025-469919724,text,,,,,,
Laura Tischberger,31-Mar-25,stadtlandzeitung,Musik aus den Regionen 2025,German,https://stadtlandzeitung.com/musik-aus-den-regionen-2025/,text,,,,,,
,27-Mar-25,brandaktuell.at,Musik aus den Regionen 2025,German,https://brandaktuell.at/2025/03/27/karriere/musik-aus-den-regionen-2025/,text,,,,,,
Ulrich Biermann,2-Jan-25,Deutschlandfunk,"A man's world? Spotify-Playlisten wie ""New Music Friday"" im Gendercheck",German,https://www.deutschlandfunk.de/a-man-s-world-spotify-playlisten-wie-new-music-friday-im-gendercheck-dlf-e5f9fe72-100.html,audio,,,,,,
,18-Dec-24,Backstage PRO,Untersuchung zeigt Genderungleichheit in Spotify-Playlists,German,https://www.backstagepro.de/thema/untersuchung-zeigt-genderungleichheit-in-spotify-playlists-2024-12-18-Sb6BNfBCNn,text,,,,,,
Gabriele Pfeifer,12-Oct-24,Salzburger Nachrichten,"Zwei Jahre „DAS"" - eine Erfolgsgeschichte",German,https://issuu.com/unisalzburg/docs/uni_nachrichten_3_2024/12,text,Uni-Nachrichten,,,,,
,4-Oct-24,ORF Burgenland Mahlzeit Burgenland,Christine Bauer (Wissenschaftlerin) zu Gast bei Georg Prenner,German,https://sound.orf.at/podcast/bgl/mahlzeit-burgenland---kochen--tratschen/christine-bauer-wissenschaftlerin-zu-gast-bei-georg-prenner,audio,,,,,,
,4-Oct-24,ORF Burgenland Mahlzeit Burgenland,Christine Bauer und Topfenfleckerl,German,https://burgenland.orf.at/magazin/stories/3275671/,text,,,,,,
,30-Jun-24,TECHNO-Zine,Big Data & Big Band,German,https://issuu.com/techno-z/docs/final_techno_zine24-all-10_es_issuu/28,text,pp 28-29,,,,,
Elisa Torner,25-Jun-24,Kronen Zeitung,"Welches Lied ein Hit wird, bestimmt die KI",German,https://www.krone.at/3433203,text,,,,,,
Anton Prlić,5-Jun-24,Salzburger Nachrichten,Digitale Wissenschaften sehen sich als Brücke zur Wirtschaft,German,,text,,,,,,
